Profile,Profile_no,Stage,Datetime,Latitude,Longitude,MLD,Sun_angle,Kd380,Kd443,Kd490,Kd555
1,1,190,07-Nov-2023 21:06:34,55.0636376666667,14.3278063333333,9.8,-46.8441888092859,NaN,NaN,NaN,NaN
1,1,590,07-Nov-2023 22:55:57,55.0662751666667,14.3297041666667,32.2,-51.3070386370318,NaN,NaN,NaN,NaN
2,2,190,07-Nov-2023 23:19:01,55.0662751666667,14.3297041666667,31.4,-50.848133021408,NaN,NaN,NaN,NaN
2,2,590,08-Nov-2023 00:57:34,55.0692208333333,14.3291288333333,30,-43.922280890687,NaN,NaN,NaN,NaN
3,3,190,08-Nov-2023 01:19:33,55.0692208333333,14.3291288333333,32.4,-41.5384944850364,NaN,NaN,NaN,NaN
3,3,590,08-Nov-2023 03:09:33,55.0724966666667,14.330601,15.6,-27.2296230529953,NaN,NaN,NaN,NaN
4,4,190,08-Nov-2023 03:33:54,55.0724966666667,14.330601,33.2,-23.781414091776,NaN,NaN,NaN,NaN
4,4,590,08-Nov-2023 05:20:35,55.0750515,14.3359101666667,21.2,-8.69287729439475,NaN,NaN,NaN,NaN
5,5,190,08-Nov-2023 05:44:43,55.0750515,14.3359101666667,33.4,-5.42874965832737,NaN,NaN,NaN,NaN
5,5,590,08-Nov-2023 07:35:28,55.0767158333333,14.3430655,25.6,7.82033021816962,NaN,0.401160702627109,0.243802522777502,0.207425939979853
6,6,190,08-Nov-2023 08:02:23,55.0767158333333,14.3430655,28.8,10.4289026317833,NaN,NaN,NaN,NaN
6,6,590,08-Nov-2023 11:20:33,55.0777123333333,14.3548828333333,28,17.9854158302377,NaN,0.385671111292277,0.228349289274614,0.193576380386959
7,7,190,08-Nov-2023 11:48:07,55.0777123333333,14.3548828333333,10,17.155249950338,0.982106805888339,NaN,NaN,NaN
7,7,590,09-Nov-2023 12:37:33,55.110461,14.5062088333333,30.2,14.211225717829,NaN,0.366203410178779,0.202443497369641,0.166967062663292
8,8,190,09-Nov-2023 13:05:11,55.110461,14.5062088333333,29.4,12.1837980934879,NaN,NaN,NaN,NaN
8,8,590,10-Nov-2023 12:37:27,55.1060636666667,14.5105218333333,35.6,13.9533128201761,NaN,0.405655704237937,0.231367474902609,0.193110277903523
9,9,190,10-Nov-2023 13:00:32,55.1060636666667,14.5105218333333,35.4,12.2930873280303,1.02288379756691,0.404503149995943,0.247247617438097,0.224471628169263
9,9,590,11-Nov-2023 12:39:20,55.1013923333333,14.520278,30,13.5692653152089,1.08463785425388,0.43490430023492,0.241168725591979,0.203243331868185
10,10,190,11-Nov-2023 13:04:56,55.1013923333333,14.520278,30,11.6932624778347,1.07511147279978,0.433799853454364,0.250513084168324,0.215212950889939
